Company,AS Number,IPv4,IPv6,Gbits/sec,Peering Status
"Saudi Telecom Company",39386,206.108.35.152,2001:504:1a::35:152,10,Conditional
"Seaborn",13786,206.108.35.154,2001:504:1a::35:154,10,Accepting
"Seaside Communications",47027,206.108.34.134,2001:504:1a::34:134,10,Accepting
"SED Multitel s.r.l.",48768,206.108.35.23,2001:504:1a::35:23,10,Accepting
"Selectcom Telecom",40224,206.108.34.213,2001:504:1a::34:213,1,Accepting
"Sentex Communications Corporation",11647,206.108.34.18,2001:504:1a::34:18,10,Accepting
"Server North Inc.",32881,206.108.34.95,2001:504:1a::34:95,10,Accepting
"SG.GS",24482,206.108.35.10,2001:504:1a::35:10,1,Accepting
"Shaw Communications Inc.",6327,206.108.34.12,2001:504:1a::34:12,20,Conditional
"Sheridan College",5664,206.108.34.198,2001:504:1a::34:198,10,Conditional
"Silo Wireless",62593,206.108.35.68,2001:504:1a::35:68,10,Accepting
"Single Digits Inc.",63383,206.108.35.73,2001:504:1a::35:73,10,Accepting
"SSC",2675,206.108.35.140,2001:504:1a::35:140,20,Not accepting
"Stackpath, LLC",33438,206.108.35.50,2001:504:1a::35:50,100,Conditional
"Stackpath, LLC",33438,206.108.35.106,2001:504:1a::35:106,100,Conditional
"Stage2Data Inc.",396984,206.108.35.112,2001:504:1a::35:112,10,Accepting
"Start Communications",40788,206.108.34.187,2001:504:1a::34:187,100,Accepting
"Storm Internet Services",13319,206.108.34.86,2001:504:1a::34:86,10,Conditional
"Sun Life",46156,206.108.35.12,2001:504:1a::35:12,10,Conditional
"Sunwire Inc",395127,206.108.35.96,2001:504:1a::35:96,10,Conditional
"Swisscom",3303,206.108.35.134,2001:504:1a::35:134,1,Conditional
"System Lifeline Inc.",394367,206.108.35.17,2001:504:1a::35:17,10,Accepting
"TBayTel",32277,206.108.34.195,2001:504:1a::34:195,100,Accepting
"TekSavvy Solutions Inc.",5645,206.108.34.67,2001:504:1a::34:67,200,Conditional
"Telkomunikasi Indonesia International (TELIN)",7713,206.108.35.70,2001:504:1a::35:70,10,Accepting
"telMAX Inc.",394710,206.108.35.83,2001:504:1a::35:83,10,Accepting
"Telnyx LLC",63440,206.108.35.93,2001:504:1a::35:93,1,Accepting
"TELUS Communications Inc",852,206.108.35.126,2001:504:1a::35:126,10,Not accepting
"Tencent / WeChat International (Canada) Limited",132203,206.108.35.115,2001:504:1a::35:115,10,Accepting
"TeraGo Networks Inc.",20161,206.108.34.73,2001:504:1a::34:73,10,Accepting
"TIRASTEL GmbH",1547,206.108.35.141,2001:504:1a::35:141,10,Accepting
"Tnext Communications Inc.",63131,206.108.35.120,2001:504:1a::35:120,10,Accepting
"Toronto Internet eXchange - Services LAN",393424,206.108.34.1,2001:504:1a::34:1,10,Accepting
"Toronto Internet eXchange - Services LAN",393424,206.108.35.1,2001:504:1a::35:1,10,Accepting
"TriCity Wifi Corp",394146,206.108.35.72,2001:504:1a::35:72,10,Accepting
"Truespeed Internet Services Inc.",53791,206.108.35.16,2001:504:1a::35:16,10,Accepting
"Trutel",16523,206.108.34.105,2001:504:1a::34:105,1,Accepting
"Tucows Inc.",15348,206.108.34.120,2001:504:1a::34:120,1,Accepting
"Twitch",46489,206.108.35.45,2001:504:1a::35:45,20,Conditional
"Twitch",46489,206.108.35.51,2001:504:1a::35:51,20,Conditional
"Ubisoft",22634,206.108.35.125,2001:504:1a::35:125,10,Accepting
"Unitas Global",1828,206.108.34.221,2001:504:1a::34:221,10,Accepting
"Venture Computers Of Canada Inc",53525,206.108.34.162,2001:504:1a::34:162,1,Accepting
"ViaNet Internet Solution",5690,206.108.34.15,2001:504:1a::34:15,100,Accepting
"Videotron Telecom Ltee",5769,206.108.34.3,2001:504:1a::34:3,10,Conditional
"VIF Internet",10996,206.108.34.34,2001:504:1a::34:34,10,Accepting
"Vmedia Inc.",54198,206.108.34.235,2001:504:1a::34:235,30,Accepting
"VSOFT Inc.",36518,206.108.34.209,2001:504:1a::34:209,1,Accepting
"Watch Tower Canada",54235,206.108.34.216,2001:504:1a::34:216,10,Accepting
"Westman Communication Group",19016,206.108.34.171,2001:504:1a::34:171,20,Accepting
"Wightman Communications",29974,206.108.34.217,2001:504:1a::34:217,10,Accepting
"The Wire Inc.",33361,206.108.34.35,2001:504:1a::34:35,1,Accepting
"WireIE Holdings International",63170,206.108.34.239,2001:504:1a::34:239,1,Accepting
"WoodyNet",42,206.108.34.115,2001:504:1a::34:115,10,Accepting
"WTC Communications",23252,206.108.35.11,2001:504:1a::35:11,10,Conditional
"XBASE Technologies",11077,206.108.35.94,2001:504:1a::35:94,10,Accepting
"Xplornet Communications Inc.",22995,206.108.34.143,2001:504:1a::34:143,100,Accepting
"Xplornet Communications Inc.",22995,206.108.35.113,2001:504:1a::35:113,100,Accepting
"Yahoo Inc.",10310,206.108.35.41,2001:504:1a::35:41,10,Accepting
"Yahoo Inc.",10310,206.108.35.40,2001:504:1a::35:40,10,Accepting
"Zayo Group",6461,206.108.35.76,2001:504:1a::35:76,40,Conditional
"Zip Telecom",36731,206.108.34.192,2001:504:1a::34:192,10,Accepting
"Zscaler Inc.",22616,206.108.35.7,2001:504:1a::35:7,10,Accepting
"Zscaler Inc.",22616,206.108.35.8,2001:504:1a::35:8,10,Accepting
Total peer count (incl. peers with multiple TorIX IP's):,277,,,
